"R0000100","R0173600","R0214700","R0214800"
1,5,3,2
2,5,3,2
3,5,3,2
4,5,3,2
5,1,3,1
6,1,3,1
7,1,3,1
8,6,3,2
9,1,3,1
10,6,3,2
11,1,3,1
12,5,3,2
13,1,3,1
14,5,3,2
15,1,3,1
16,5,3,2
17,1,3,1
18,1,3,1
19,5,3,2
20,5,3,2
21,5,3,2
22,5,3,2
23,1,3,1
24,1,3,1
25,5,3,2
26,1,3,1
27,5,3,2
28,5,3,2
29,5,3,2
30,5,3,2
31,4,1,1
32,8,1,2
33,4,1,1
34,1,3,1
35,5,3,2
36,1,3,1
37,5,3,2
38,5,3,2
39,1,3,1
40,2,3,1
41,2,3,1
42,1,3,1
43,6,3,2
44,5,3,2
45,1,3,1
46,5,3,2
47,1,3,1
48,2,3,1
49,5,3,2
50,5,3,2
51,1,3,1
52,1,3,1
53,4,1,1
54,1,3,1
55,1,3,1
56,5,3,2
57,5,3,2
58,5,3,2
59,1,3,1
60,1,3,1
61,5,3,2
62,5,3,2
63,1,3,1
64,1,3,1
65,5,3,2
66,1,3,1
67,1,3,1
68,5,3,2
69,1,3,1
70,1,3,1
71,1,3,1
72,5,3,2
73,1,3,1
74,5,3,2
75,5,3,2
76,1,3,1
77,5,3,2
78,5,3,2
79,1,3,1
80,1,3,1
81,1,3,1
82,3,2,1
83,3,2,1
84,3,2,1
85,3,2,1
86,7,2,2
87,3,2,1
88,3,2,1
89,7,2,2
90,1,3,1
91,5,3,2
92,5,3,2
93,1,3,1
94,1,3,1
95,5,3,2
96,6,3,2
97,5,3,2
98,6,3,2
99,5,3,2
100,5,3,2
101,1,3,1
102,5,3,2
103,1,3,1
104,5,3,2
105,6,3,2
106,1,3,1
107,1,3,1
108,1,3,1
109,5,3,2
110,1,3,1
111,5,3,2
112,5,3,2
113,1,3,1
114,1,3,1
115,5,3,2
116,5,3,2
117,1,3,1
118,5,3,2
119,1,3,1
120,1,3,1
121,5,3,2
122,1,3,1
123,1,3,1
124,5,3,2
125,1,3,1
126,1,3,1
127,1,3,1
128,5,3,2
129,1,3,1
130,6,3,2
131,6,3,2
132,6,3,2
133,5,3,2
134,1,3,1
135,1,3,1
136,5,3,2
137,5,3,2
138,5,3,2
139,1,3,1
140,5,3,2
141,5,3,2
142,1,3,1
143,5,3,2
144,5,3,2
145,1,3,1
146,1,3,1
147,5,3,2
148,1,3,1
149,5,3,2
150,1,3,1
151,5,3,2
152,5,3,2
153,5,3,2
154,5,3,2
155,1,3,1
156,1,3,1
157,5,3,2
158,5,3,2
159,5,3,2
160,5,3,2
161,5,3,2
162,1,3,1
163,1,3,1
164,5,3,2
165,5,3,2
166,1,3,1
167,5,3,2
168,3,2,1
169,7,2,2
170,5,3,2
171,1,3,1
172,6,3,2
173,1,3,1
174,8,1,2
175,5,3,2
176,5,3,2
177,1,3,1
178,1,3,1
179,5,3,2
180,5,3,2
181,1,3,1
182,1,3,1
183,5,3,2
184,5,3,2
185,1,3,1
186,5,3,2
187,1,3,1
188,5,3,2
189,1,3,1
190,5,3,2
191,1,3,1
192,5,3,2
193,1,3,1
194,1,3,1
195,1,3,1
196,1,3,1
197,5,3,2
198,1,3,1
199,1,3,1
200,5,3,2
201,1,3,1
202,1,3,1
203,8,1,2
204,8,1,2
205,8,1,2
206,1,3,1
207,1,3,1
208,6,3,2
209,1,3,1
210,1,3,1
211,5,3,2
212,1,3,1
213,1,3,1
214,1,3,1
215,1,3,1
216,5,3,2
217,1,3,1
218,1,3,1
219,5,3,2
220,5,3,2
221,7,2,2
222,3,2,1
223,3,2,1
224,7,2,2
225,4,1,1
226,4,1,1
227,7,2,2
228,8,1,2
229,5,3,2
230,1,3,1
231,5,3,2
232,1,3,1
233,1,3,1
234,2,3,1
235,1,3,1
236,5,3,2
237,5,3,2
238,6,3,2
239,6,3,2
240,6,3,2
241,2,3,1
242,5,3,2
243,1,3,1
244,5,3,2
245,5,3,2
246,1,3,1
247,2,3,1
248,2,3,1
249,6,3,2
250,5,3,2
251,2,3,1
252,6,3,2
253,1,3,1
254,5,3,2
255,5,3,2
256,5,3,2
257,1,3,1
258,5,3,2
259,1,3,1
260,1,3,1
261,1,3,1
262,5,3,2
263,1,3,1
264,5,3,2
265,5,3,2
266,2,3,1
267,1,3,1
268,1,3,1
269,2,3,1
270,1,3,1
271,5,3,2
272,5,3,2
273,1,3,1
274,2,3,1
275,6,3,2
276,5,3,2
277,1,3,1
278,5,3,2
279,1,3,1
280,5,3,2
281,1,3,1
282,5,3,2
283,4,1,1
284,4,1,1
285,8,1,2
286,8,1,2
287,5,3,2
288,5,3,2
289,5,3,2
290,8,1,2
291,3,2,1
292,5,3,2
293,5,3,2
294,5,3,2
295,1,3,1
296,1,3,1
297,5,3,2
298,8,1,2
299,4,1,1
300,4,1,1
301,4,1,1
302,4,1,1
303,4,1,1
304,4,1,1
305,8,1,2
306,3,2,1
307,5,3,2
308,1,3,1
309,1,3,1
310,1,3,1
311,1,3,1
312,5,3,2
313,1,3,1
314,5,3,2
315,1,3,1
316,1,3,1
317,1,3,1
318,1,3,1
319,5,3,2
320,1,3,1
321,5,3,2
322,5,3,2
323,1,3,1
324,1,3,1
325,1,3,1
326,5,3,2
327,5,3,2
328,4,1,1
329,4,1,1
330,4,1,1
331,4,1,1
332,4,1,1
333,7,2,2
334,3,2,1
335,7,2,2
336,3,2,1
337,3,2,1
338,7,2,2
339,7,2,2
340,7,2,2
341,5,3,2
342,1,3,1
343,7,2,2
344,5,3,2
345,7,2,2
346,1,3,1
347,5,3,2
348,1,3,1
349,1,3,1
350,1,3,1
351,1,3,1
352,5,3,2
353,1,3,1
354,5,3,2
355,1,3,1
356,1,3,1
357,1,3,1
358,1,3,1
359,5,3,2
360,5,3,2
361,1,3,1
362,1,3,1
363,5,3,2
364,1,3,1
365,5,3,2
366,1,3,1
367,5,3,2
368,7,2,2
369,5,3,2
370,5,3,2
371,5,3,2
372,1,3,1
373,5,3,2
374,5,3,2
375,1,3,1
376,2,3,1
377,3,2,1
378,3,2,1
379,7,2,2
380,3,2,1
381,3,2,1
382,7,2,2
383,3,2,1
384,3,2,1
385,7,2,2
386,7,2,2
387,3,2,1
388,7,2,2
389,5,3,2
390,7,2,2
391,7,2,2
392,1,3,1
393,1,3,1
394,3,2,1
395,7,2,2
396,3,2,1
397,7,2,2
398,3,2,1
399,5,3,2
400,5,3,2
401,5,3,2
402,5,3,2
403,1,3,1
404,1,3,1
405,5,3,2
406,1,3,1
407,5,3,2
408,1,3,1
409,2,3,1
410,1,3,1
411,1,3,1
412,1,3,1
413,1,3,1
414,5,3,2
415,1,3,1
416,5,3,2
417,1,3,1
418,5,3,2
419,1,3,1
420,1,3,1
421,1,3,1
422,1,3,1
423,5,3,2
424,1,3,1
425,5,3,2
426,4,1,1
427,5,3,2
428,5,3,2
429,1,3,1
430,1,3,1
431,5,3,2
432,1,3,1
433,1,3,1
434,1,3,1
435,1,3,1
436,5,3,2
437,5,3,2
438,6,3,2
439,5,3,2
440,1,3,1
441,1,3,1
442,5,3,2
443,1,3,1
444,5,3,2
445,1,3,1
446,6,3,2
447,1,3,1
448,1,3,1
449,5,3,2
450,1,3,1
451,1,3,1
452,6,3,2
453,1,3,1
454,5,3,2
455,5,3,2
456,1,3,1
457,1,3,1
458,5,3,2
459,5,3,2
460,5,3,2
461,1,3,1
462,5,3,2
463,1,3,1
464,1,3,1
465,5,3,2
466,1,3,1
467,5,3,2
468,1,3,1
469,4,1,1
470,2,3,1
471,5,3,2
472,5,3,2
473,1,3,1
474,5,3,2
475,5,3,2
476,5,3,2
477,1,3,1
478,6,3,2
479,1,3,1
480,1,3,1
481,1,3,1
482,1,3,1
